,ObservationDate,Country_Region,Deaths
0,30-01-2020,India,0
1,31-01-2020,India,0
2,31-01-2020,India,0
3,02-02-2020,India,0
4,03-02-2020,India,0
5,03-02-2020,India,0
6,03-02-2020,India,0
7,03-02-2020,India,0
8,03-02-2020,India,0
9,03-02-2020,India,0
10,03-02-2020,India,0
11,03-02-2020,India,0
12,03-02-2020,India,0
13,03-02-2020,India,0
14,13-02-2020,India,0
15,13-02-2020,India,0
16,13-02-2020,India,0
17,16-02-2020,India,0
18,16-02-2020,India,0
19,16-02-2020,India,0
20,16-02-2020,India,0
21,16-02-2020,India,0
22,16-02-2020,India,0
23,16-02-2020,India,0
24,16-02-2020,India,0
25,16-02-2020,India,0
26,16-02-2020,India,0
27,16-02-2020,India,0
28,16-02-2020,India,0
29,16-02-2020,India,0
30,16-02-2020,India,0
31,16-02-2020,India,0
32,02-03-2020,India,0
33,02-03-2020,India,0
34,04-03-2020,India,0
35,05-03-2020,India,0
36,06-03-2020,India,0
37,07-03-2020,India,0
38,08-03-2020,India,0
39,09-03-2020,India,0
40,10-03-2020,India,0
41,11-03-2020,India,1
42,11-03-2020,India,2
43,12-03-2020,India,1
44,14-03-2020,India,2
45,15-03-2020,India,2
46,16-03-2020,India,2
47,17-03-2020,India,3
48,18-03-2020,India,3
49,19-03-2020,India,4
50,20-03-2020,India,5
51,21-03-2020,India,4
52,22-03-2020,India,7
53,23-03-2020,India,10
54,24-03-2020,India,10
55,25-03-2020,India,12
56,26-03-2020,India,20
57,27-03-2020,India,20
58,28-03-2020,India,24
59,29-03-2020,India,27
60,30-03-2020,India,32
61,31-03-2020,India,35
62,01-04-2020,India,58
63,02-04-2020,India,72
64,03-04-2020,India,72
65,04-04-2020,India,86
66,05-04-2020,India,99
67,06-04-2020,India,136
68,07-04-2020,India,150
69,08-04-2020,India,178
70,09-04-2020,India,226
71,10-04-2020,India,246
72,11-04-2020,India,288
73,12-04-2020,India,331
74,13-04-2020,India,358
75,14-04-2020,India,393
76,15-04-2020,India,405
77,16-04-2020,India,448
78,17-04-2020,India,486
79,18-04-2020,India,521
80,19-04-2020,India,559
81,20-04-2020,India,592
82,21-04-2020,India,645
83,22-04-2020,India,681
84,23-04-2020,India,721
85,24-04-2020,India,780
86,25-04-2020,India,825
87,26-04-2020,India,881
88,27-04-2020,India,939
89,28-04-2020,India,1008
90,29-04-2020,India,1079
91,30-04-2020,India,1154
92,01-05-2020,India,1223
93,02-05-2020,India,1323
94,03-05-2020,India,1391
95,04-05-2020,India,1566
96,05-05-2020,India,1693
97,06-05-2020,India,1785
98,07-05-2020,India,1889
99,08-05-2020,India,1985
100,09-05-2020,India,2101
101,10-05-2020,India,2212
102,11-05-2020,India,2294
103,12-05-2020,India,2415
104,13-05-2020,India,2551
105,14-05-2020,India,2649
106,15-05-2020,India,2753
107,16-05-2020,India,2871
108,17-05-2020,India,3025
109,18-05-2020,India,3156
110,19-05-2020,India,3302
111,20-05-2020,India,3434
112,21-05-2020,India,3584
113,22-05-2020,India,3726
114,23-05-2020,India,3868
115,24-05-2020,India,4024
116,25-05-2020,India,4172
117,26-05-2020,India,4344
118,27-05-2020,India,4534
119,28-05-2020,India,4711
120,29-05-2020,India,4980
121,30-05-2020,India,5185
122,31-05-2020,India,5408
123,01-06-2020,India,5608
124,02-06-2020,India,5829
