,ObservationDate,Country_Region,Active
0,2020-01-30,India,0.0
1,2020-01-31,India,0.0
2,2020-01-31,India,1.0
3,2020-02-02,India,2.0
4,2020-02-03,India,3.0
5,2020-02-03,India,3.0
6,2020-02-03,India,3.0
7,2020-02-03,India,3.0
8,2020-02-03,India,3.0
9,2020-02-03,India,3.0
10,2020-02-03,India,3.0
11,2020-02-03,India,3.0
12,2020-02-03,India,3.0
13,2020-02-03,India,3.0
14,2020-02-13,India,3.0
15,2020-02-13,India,3.0
16,2020-02-13,India,3.0
17,2020-02-16,India,0.0
18,2020-02-16,India,0.0
19,2020-02-16,India,0.0
20,2020-02-16,India,0.0
21,2020-02-16,India,0.0
22,2020-02-16,India,0.0
23,2020-02-16,India,0.0
24,2020-02-16,India,0.0
25,2020-02-16,India,0.0
26,2020-02-16,India,0.0
27,2020-02-16,India,0.0
28,2020-02-16,India,0.0
29,2020-02-16,India,0.0
30,2020-02-16,India,0.0
31,2020-02-16,India,0.0
32,2020-03-02,India,2.0
33,2020-03-02,India,2.0
34,2020-03-04,India,25.0
35,2020-03-05,India,27.0
36,2020-03-06,India,28.0
37,2020-03-07,India,31.0
38,2020-03-08,India,36.0
39,2020-03-09,India,40.0
40,2020-03-10,India,52.0
41,2020-03-11,India,57.0
42,2020-03-11,India,76.0
43,2020-03-12,India,68.0
44,2020-03-14,India,96.0
45,2020-03-15,India,98.0
46,2020-03-16,India,104.0
47,2020-03-17,India,125.0
48,2020-03-18,India,139.0
49,2020-03-19,India,175.0
50,2020-03-20,India,219.0
51,2020-03-21,India,303.0
52,2020-03-22,India,365.0
53,2020-03-23,India,455.0
54,2020-03-24,India,486.0
55,2020-03-25,India,602.0
56,2020-03-26,India,662.0
57,2020-03-27,India,794.0
58,2020-03-28,India,879.0
59,2020-03-29,India,902.0
60,2020-03-30,India,1117.0
61,2020-03-31,India,1239.0
62,2020-04-01,India,1792.0
63,2020-04-02,India,2280.0
64,2020-04-03,India,2303.0
65,2020-04-04,India,2767.0
66,2020-04-05,India,3260.0
67,2020-04-06,India,4267.0
68,2020-04-07,India,4740.0
69,2020-04-08,India,5232.0
70,2020-04-09,India,5879.0
71,2020-04-10,India,6578.0
72,2020-04-11,India,7189.0
73,2020-04-12,India,7794.0
74,2020-04-13,India,8914.0
75,2020-04-14,India,9735.0
76,2020-04-15,India,10485.0
77,2020-04-16,India,11214.0
78,2020-04-17,India,11825.0
79,2020-04-18,India,12738.0
80,2020-04-19,India,14202.0
81,2020-04-20,India,14674.0
82,2020-04-21,India,15460.0
83,2020-04-22,India,16319.0
84,2020-04-23,India,17344.0
85,2020-04-24,India,18252.0
86,2020-04-25,India,19519.0
87,2020-04-26,India,20486.0
88,2020-04-27,India,21375.0
89,2020-04-28,India,22569.0
90,2020-04-29,India,23546.0
91,2020-04-30,India,24641.0
92,2020-05-01,India,26027.0
93,2020-05-02,India,27557.0
94,2020-05-03,India,29339.0
95,2020-05-04,India,32024.0
96,2020-05-05,India,33565.0
97,2020-05-06,India,35871.0
98,2020-05-07,India,37686.0
99,2020-05-08,India,39823.0
100,2020-05-09,India,41406.0
101,2020-05-10,India,43980.0
102,2020-05-11,India,45925.0
103,2020-05-12,India,47457.0
104,2020-05-13,India,49104.0
105,2020-05-14,India,51379.0
106,2020-05-15,India,52773.0
107,2020-05-16,India,53553.0
108,2020-05-17,India,55878.0
109,2020-05-18,India,57939.0
110,2020-05-19,India,60864.0
111,2020-05-20,India,63172.0
112,2020-05-21,India,66089.0
113,2020-05-22,India,69244.0
114,2020-05-23,India,73170.0
115,2020-05-24,India,76820.0
116,2020-05-25,India,80072.0
117,2020-05-26,India,82172.0
118,2020-05-27,India,85803.0
119,2020-05-28,India,89755.0
120,2020-05-29,India,85884.0
121,2020-05-30,India,89706.0
122,2020-05-31,India,93349.0
123,2020-06-01,India,97008.0
124,2020-06-02,India,101077.0
125,2020-06-03,India,106665.0
126,2020-06-04,India,111900.0
127,2020-06-05,India,116302.0
128,2020-06-06,India,120981.0
129,2020-06-07,India,126431.0
130,2020-06-08,India,129360.0
131,2020-06-09,India,133726.0
132,2020-06-10,India,0.0
133,2020-06-10,India,2191.0
134,2020-06-10,India,56.0
135,2020-06-10,India,1848.0
136,2020-06-10,India,2563.0
137,2020-06-10,India,32.0
138,2020-06-10,India,848.0
139,2020-06-10,India,20.0
140,2020-06-10,India,18543.0
141,2020-06-10,India,292.0
142,2020-06-10,India,5336.0
143,2020-06-10,India,3030.0
144,2020-06-10,India,191.0
145,2020-06-10,India,2792.0
146,2020-06-10,India,844.0
147,2020-06-10,India,3251.0
148,2020-06-10,India,1232.0
149,2020-06-10,India,55.0
150,2020-06-10,India,2700.0
151,2020-06-10,India,44860.0
152,2020-06-10,India,243.0
153,2020-06-10,India,29.0
154,2020-06-10,India,87.0
155,2020-06-10,India,117.0
156,2020-06-10,India,998.0
157,2020-06-10,India,75.0
158,2020-06-10,India,497.0
159,2020-06-10,India,2662.0
160,2020-06-10,India,13.0
161,2020-06-10,India,16282.0
162,2020-06-10,India,1963.0
163,2020-06-10,India,671.0
164,2020-06-10,India,9227.0
165,2020-06-10,India,4365.0
166,2020-06-10,India,769.0
167,2020-06-10,India,4950.0
168,2020-06-11,India,5.0
169,2020-06-11,India,2301.0
170,2020-06-11,India,57.0
171,2020-06-11,India,1881.0
172,2020-06-11,India,2681.0
173,2020-06-11,India,41.0
174,2020-06-11,India,945.0
175,2020-06-11,India,28.0
176,2020-06-11,India,20871.0
177,2020-06-11,India,350.0
178,2020-06-11,India,5546.0
179,2020-06-11,India,3644.0
180,2020-06-11,India,184.0
181,2020-06-11,India,2702.0
182,2020-06-11,India,961.0
183,2020-06-11,India,3196.0
184,2020-06-11,India,1258.0
185,2020-06-11,India,80.0
186,2020-06-11,India,2768.0
187,2020-06-11,India,47980.0
188,2020-06-11,India,293.0
189,2020-06-11,India,25.0
190,2020-06-11,India,101.0
191,2020-06-11,India,106.0
192,2020-06-11,India,1023.0
193,2020-06-11,India,88.0
194,2020-06-11,India,569.0
195,2020-06-11,India,2798.0
196,2020-06-11,India,12.0
197,2020-06-11,India,17662.0
198,2020-06-11,India,2162.0
199,2020-06-11,India,634.0
200,2020-06-11,India,8315.0
201,2020-06-11,India,4451.0
202,2020-06-11,India,786.0
203,2020-06-11,India,5338.0
204,2020-06-12,India,5.0
205,2020-06-12,India,2301.0
206,2020-06-12,India,57.0
207,2020-06-12,India,1881.0
208,2020-06-12,India,2681.0
209,2020-06-12,India,41.0
210,2020-06-12,India,945.0
211,2020-06-12,India,28.0
212,2020-06-12,India,20871.0
213,2020-06-12,India,350.0
214,2020-06-12,India,5546.0
215,2020-06-12,India,3644.0
216,2020-06-12,India,184.0
217,2020-06-12,India,2702.0
218,2020-06-12,India,961.0
219,2020-06-12,India,3196.0
220,2020-06-12,India,1258.0
221,2020-06-12,India,80.0
222,2020-06-12,India,2768.0
223,2020-06-12,India,47980.0
224,2020-06-12,India,293.0
225,2020-06-12,India,25.0
226,2020-06-12,India,101.0
227,2020-06-12,India,106.0
228,2020-06-12,India,1023.0
229,2020-06-12,India,88.0
230,2020-06-12,India,569.0
231,2020-06-12,India,2798.0
232,2020-06-12,India,12.0
233,2020-06-12,India,17662.0
234,2020-06-12,India,2162.0
235,2020-06-12,India,634.0
236,2020-06-12,India,8315.0
237,2020-06-12,India,4451.0
238,2020-06-12,India,786.0
239,2020-06-12,India,5338.0
240,2020-06-13,India,5.0
241,2020-06-13,India,2495.0
242,2020-06-13,India,63.0
243,2020-06-13,India,1953.0
244,2020-06-13,India,2480.0
245,2020-06-13,India,43.0
246,2020-06-13,India,873.0
247,2020-06-13,India,28.0
248,2020-06-13,India,22212.0
249,2020-06-13,India,394.0
250,2020-06-13,India,5619.0
251,2020-06-13,India,3789.0
252,2020-06-13,India,183.0
253,2020-06-13,India,2591.0
